FID,id,onoma,the_geom
4f097ff9-4fbb-4411-86f3-1e7e621df61a.57,58,Σκύρου LGSY SKU,POINT (24.487447349258257 38.96581033569629)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.58,59,Οδυσσέας Ελύτης LGMT MJT Μυτιλήνη,POINT (26.60228988061877 39.05432710378054)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.59,60,Πολιχνίτος LG0D,POINT (26.195359756166148 39.08948553210516)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.60,61,Χίου LGHI JKH,POINT (26.14043686997445 38.342426704052755)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.61,62,Ολύμποι LG56,POINT (25.938310372751594 38.23614438709236)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.62,63,Αρίσταρχος LGSM SMI Σάμος,POINT (26.913700406975515 37.69035131208383)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.63,64,Ικαρία LGIK JIK,POINT (26.345583966660755 37.684742453146434)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.64,65,Ιπποκράτης LGKO KG Κω,POINT (27.08973612673025 36.80073510611215)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.65,66,Κάλυμνος LGKY JKL,POINT (26.938686951324257 36.96347845468735)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.66,67,Λέρου LGLE LRS,POINT (26.80022092711317 37.1847579695244)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.67,68,Αστυπάλαια LGPL JTV,POINT (26.375501052462514 36.57969937717073)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.68,69,Σαντορίνη LGSR JTR Θήρα,POINT (25.477141091045763 36.40322400965766)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.69,70,Μήλου LGML MLO,POINT (24.473840215261482 36.69657700371344)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.70,71,Πάρος LGPA PAS,POINT (25.12801000195868 37.011497641868026)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.71,72,Νάξου LGNX JNK,POINT (25.368232631741048 37.08480116647244)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.72,73,Μύκονος LGMK JMK,POINT (25.346892633854356 37.43554494775467)
4f097ff9-4fbb-4411-86f3-1e7e621df61a.73,74,Σύρου LGSO JSY,POINT (24.949830011251496 37.422840396424824)
