,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev
12652,7202020704,Μαύρος Κόλυμπος,99,95,127,129,104,113,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΙΕΡΑΠΕΤΡΑΣ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Σχινοκαψάλων,Μαύρος Κόλυμπος,ο,ο,35.03014,25.90312,
12653,7202020801,Χρυσοπηγή,179,176,61,84,142,179,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΙΕΡΑΠΕΤΡΑΣ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Χρυσοπηγής,Χρυσοπηγή,η,η,35.10491,25.94986,
12654,7202020802,Μπέμπονας,11,11,76,95,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΙΕΡΑΠΕΤΡΑΣ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Χρυσοπηγής,Μπέμπονας,ο,ο,35.11364,25.90376,
12655,7203000101,Τζερμιάδο,637,633,762,747,875,1079,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Τζερμιάδου,Τζερμιάδον,το,το,35.19899,25.48862,
12656,7203000201,Αβρακόντες,170,166,227,235,461,437,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Αβρακόντε,Αβρακόντες,ο,ο,,,
12657,7203000202,Κουδουμαλιά,24,23,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Αβρακόντε,Κουδουμαλιά,η,η,35.1611,25.4846,
12658,7203000301,Άγιος Γεώργιος,490,480,541,554,717,781,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Αγίου Γεωργίου Λασιθίου,Άγιος Γεώργιος,ο,ο,,,
12659,7203000401,Άγιος Κωνσταντίνος,104,96,175,175,168,167,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Αγίου Κωνσταντίνου,Άγιος Κωνσταντίνος,ο,ο,35.21939,25.62625,
12660,7203000402,Μονή Κρυσταλλένιας,11,11,8,9,5,7,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Αγίου Κωνσταντίνου,Μονή Κρυσταλλένιας,η,η,,,
12661,7203000501,Καμινάκι,273,272,343,354,390,383,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Καμινακίου,Καμινάκιον,το,το,35.15649,25.4661,
12662,7203000601,Κάτω Μετόχι,66,65,89,86,125,135,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Κάτω Μετοχίου,Κάτω Μετόχιον,το,το,35.18587,25.43215,
12663,7203000602,Άγιος Χαράλαμπος,36,35,65,80,82,88,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Κάτω Μετοχίου,Άγιος Χαράλαμπος,ο,ο,35.17634,25.43896,
12664,7203000603,Μονή Βιδιανής,1,1,0,0,0,0,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Κάτω Μετοχίου,Μονή Βιδιανής,η,η,,,
12665,7203000701,Λαγού,46,45,78,77,79,142,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Λαγού,Λαγού,το,το,,,
12666,7203000702,Πινακιανό,19,20,40,48,56,77,ΚΡΗΤΗΣ,ΛΑΣΙΘΙΟΥ,ΟΡΟΠΕΔΙΟΥ ΛΑΣΙΘΙΟΥ,ΜΑΚΡΥ ΓΙΑΛΟΥ,Λαγού,Πινακιανόν,το,το,35.19696,25.46459,
