asciiName,adminId2,adminId3,adminId1,lat,adminCode2,adminCode3,adminCode1,lng,toponymName,population,adminName3,adminName2,name,adminName1,elevation,greek_name,nomos
Asproyerakata,258445.0,8133851.0,6697805.0,38.78299,26.0,9121.0,ESYE22,20.6531,Asproyerakáta,98,ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ,Asprogerakata,Ionian Islands,,Ασπρογερακάτα,ΛΕΥΚΑΔΑΣ
Asprogerakas,260310.0,8133850.0,6697805.0,38.11192,27.0,9120.0,ESYE22,20.76836,Asprogérakas,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Asprogérakas,Ionian Islands,,Ασπρογέρακας,ΚΕΦΑΛΛΗΝΙΑΣ
Asfaka,261777.0,8133722.0,6697804.0,39.77575,17.0,9083.0,ESYE21,20.74975,Asfáka,269,Zitsa,ΙΩΑΝΝΙΝΩΝ,Asfaka,Epirus,,Ασφάκα,ΙΩΑΝΝΙΝΩΝ
Argyrotopos,252941.0,8133725.0,6697804.0,39.41669,18.0,9077.0,ESYE21,20.31475,Argyrótopos,331,Igoumenitsa,ΘΕΣΠΡΟΤΙΑΣ,Argyrótopos,Epirus,,Αργυρότοπος,ΘΕΣΠΡΟΤΙΑΣ
Argyratika,2463676.0,8133911.0,6697805.0,39.22525,25.0,9119.0,ESYE22,20.14753,Argyrátika,0,Paxoi,ΚΕΡΚΥΡΑΣ,Argyrátika,Ionian Islands,,Αργυράτικα,ΚΕΡΚΥΡΑΣ
Arvanitakaiika,2463676.0,8133911.0,6697805.0,39.20586,25.0,9119.0,ESYE22,20.15561,Arvanitakaíïka,68,Paxoi,ΚΕΡΚΥΡΑΣ,Arvanitakaíïka,Ionian Islands,,Αρβανιτακαίικα,ΚΕΡΚΥΡΑΣ
Artissa,264545.0,8133816.0,6697804.0,39.46031,20.0,9075.0,ESYE21,21.07386,Ártissa,51,Central Tzoumerka,ΑΡΤΑΣ,Ártissa,Epirus,,Άρτισσα,ΑΡΤΑΣ
Anogi,260310.0,8133849.0,6697805.0,38.41978,27.0,9117.0,ESYE22,20.67411,Anogí,0,Ithaca,ΚΕΦΑΛΛΗΝΙΑΣ,Anogí,Ionian Islands,,Ανωγή,ΚΕΦΑΛΛΗΝΙΑΣ
Ano Valtes,260310.0,8133850.0,6697805.0,38.09683,27.0,9120.0,ESYE22,20.74642,Áno Váltes,0,Kefalonia,ΚΕΦΑΛΛΗΝΙΑΣ,Áno Váltes,Ionian Islands,,Άνω Βάλτες,ΚΕΦΑΛΛΗΝΙΑΣ
Ano Skafidoti,254695.0,8133742.0,6697804.0,39.28703,19.0,9089.0,ESYE21,20.63989,Áno Skafidotí,60,Parga,ΠΡΕΒΕΖΑΣ,Áno Skafidotí,Epirus,,Άνω Σκαφιδωτή,ΠΡΕΒΕΖΑΣ
Ano Mousiotitsa,261777.0,8133720.0,6697804.0,39.41397,17.0,9081.0,ESYE21,20.82197,Áno Mousiotítsa,14,Dodoni,ΙΩΑΝΝΙΝΩΝ,Ano Mousiotitsa,Epirus,,Άνω Μουσιωτίτσα,ΙΩΑΝΝΙΝΩΝ
