,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,mean_temp
4639,Βαρκά,42,44,48,72,64,66,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Λουτρών Υπάτης,Βαρκά,τα,τα,38.88674,22.26714,,
4640,Μαγούλα,22,24,56,59,45,49,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Λουτρών Υπάτης,Μαγούλα,η,η,,,,
4641,Νέα Υπάτη,12,12,68,59,33,33,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Λουτρών Υπάτης,Νέα Υπάτη,η,η,38.89135,22.26783,,
4642,Λυχνό,142,143,120,290,207,310,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Λυχνού,Λυχνόν,το,το,38.86427,22.19897,,
4643,Αλώνια,0,0,6,6,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Λυχνού,Αλώνια,τα,τα,,,,
4644,Ιερά Μονή Αγάθωνος,7,7,11,11,9,12,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Λυχνού,Ιερά Μονή Αγάθωνος,η,η,,,,
4645,Μεξιάτες,618,637,757,793,680,772,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Μεξιατών,Μεξιάται,αι,οι,38.88298,22.31355,,
4646,Μεσχώρι,80,91,115,167,126,129,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Μεσοχωρίου Υπάτης,Μεσοχώριον,το,το,,,,
4647,Νεχώρι,197,202,69,205,60,111,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Νεοχωρίου Υπάτης,Νεοχώριον,το,το,,,,
4648,Περιστέρι,96,99,75,217,121,131,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Περιστερίου,Περιστέριον,το,το,38.83359,22.16161,,
4649,Πύργος,106,112,144,254,162,265,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Πύργου,Πύργος,ο,ο,,,,
4650,Ροδωνιά,256,256,347,366,376,452,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Ροδωνιάς,Ροδωνιά,η,η,38.92,22.23117,,
4651,Καρυά,199,200,188,263,257,258,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Ροδωνιάς,Καρυά,η,η,,,,
4652,Συκά,216,216,334,341,270,303,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΑΜΙΕΩΝ,ΥΠΑΤΗΣ,Συκά Υπάτης,Συκά,η,η,38.88198,22.19689,,
4653,Κάτω Τιθορέα,1841,1831,2690,2770,2734,2813,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Κάτω Τιθορέας,Κάτω Τιθορέα,η,η,,,,
4654,Αγία Μαρίνα,229,228,313,327,355,351,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Αγίας Μαρίνης Λοκρίδος,Αγία Μαρίνα,η,η,,,,
4655,Ιερά Μονή Αγίας Μαρίνας,1,1,0,0,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Αγίας Μαρίνης Λοκρίδος,Ιερά Μονή Αγίας Μαρίνας,η,η,,,,
4656,Αγία Παρασκευή,180,176,188,251,217,268,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Αγίας Παρασκευής,Αγία Παρασκευή,η,η,,,,
4657,Μδι,311,302,505,510,470,465,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Μοδίου,Μόδιον,το,το,,,,
4658,Ιερά Μονή Μοδίου,6,6,0,0,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Μοδίου,Ιερά Μονή Μοδίου,η,η,,,,
4659,Τιθορέα,630,625,810,901,869,1005,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Τιθορέας,Τιθορέα,η,η,,,,
4660,Ιερά Μονή Οδηγήτριας,0,0,0,0,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΤΙΘΟΡΕΑΣ,Τιθορέας,Ιερά Μονή Οδηγήτριας,η,η,,,,
4661,Αμφίκλεια,3012,3154,3371,3523,3182,3145,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Αμφίκλεια,η,η,,,,
4662,Άνω Καλύβια,174,121,0,0,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Άνω Καλύβια,τα,τα,38.66008,22.56605,,
4663,Μονή Δαδίου,3,3,6,5,3,9,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Μονή Δαδίου,η,η,,,,
4664,Περδικόβρυση,0,0,2,27,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Περδικόβρυση,η,η,38.63001,22.58032,,
4665,Πευκόβρυση,0,0,0,0,4,4,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Πευκόβρυση,η,η,38.63779,22.57228,,
4666,Σταθμός,2,2,2,2,15,15,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Σταθμός,ο (Δ.Κ.Αμφικλείας),ο (Δ.Κ.Αμφικλείας),,,,
4667,Φτερόλακκα,0,0,8,28,66,66,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Αμφικλείας,Φτερόλακκα,η,η,38.6214,22.57684,,
4668,Δρυμαία,255,289,265,366,337,439,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Δρυμαίας,Δρυμαία,η,η,38.70798,22.55938,,
4669,Μπράλος,114,120,95,175,100,298,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Μπράλου,Μπράλος,ο,ο,,,,
4670,Άνω Μπράλος,82,113,165,281,93,285,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Μπράλου,Άνω Μπράλος,ο,ο,38.73267,22.45448,,
4671,Σταθμός,84,84,113,200,88,198,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Μπράλου,Σταθμός,ο (Τ.Κ.Μπράλου),ο (Τ.Κ.Μπράλου),,,,
4672,Ξυλικοί,72,77,112,183,122,191,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Ξυλικών,Ξυλικοί,οι,οι,38.69775,22.63205,,
4673,Παλαιχώρι,287,328,383,601,354,529,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Παλαιοχωρίου Δωριέων,Παλαιοχώριον,το,το,,,,
4674,Τιθρώνι,101,148,154,245,75,138,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΑΜΦΙΚΛΕΙΑΣ,Τιθρωνίου,Τιθρώνιον,το,το,38.71286,22.58141,,
4675,Ελάτεια,2372,2297,2458,2470,2439,2524,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΕΛΑΤΕΙΑΣ,Ελάτειας,Ελάτεια,η,η,38.6277,22.76492,,
4676,Ζέλι,673,687,846,910,1029,1033,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΕΛΑΤΕΙΑΣ,Ζελίου,Ζέλιον,το,το,38.65911,22.87499,,
4677,Λευκχώρι,123,124,182,208,202,223,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΕΛΑΤΕΙΑΣ,Λευκοχωρίου,Λευκοχώριον,το,το,,,,
4678,Παναγίτσα,266,266,182,219,182,186,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΕΛΑΤΕΙΑΣ,Παναγίτσας,Παναγίτσα,η,η,38.63952,22.73938,,
4679,Σφάκα,93,97,154,167,184,194,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΕΛΑΤΕΙΑΣ,Σφάκας,Σφάκα,η,η,38.60886,22.85182,,
4680,Κατάλυμα,11,10,20,26,24,24,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΑΜΦΙΚΛΕΙΑΣ - ΕΛΑΤΕΙΑΣ,ΕΛΑΤΕΙΑΣ,Σφάκας,Κατάλυμα,το,το,38.60544,22.83332,,
4681,Δομοκός,1531,2144,1595,1556,1951,1939,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Δομοκού,Δομοκός,ο,ο,,,,
4682,Αχλαδέα,52,55,60,92,114,108,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Αχλαδέας,Αχλαδέα,η,η,,,,
4683,Βύζι,128,128,124,163,191,185,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Βουζίου,Βούζιον,το,το,,,,
4684,Γερακλί,24,25,77,81,89,91,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Γερακλίου,Γερακλίον,το,το,39.1471,22.36932,,
4685,Καρυές,123,122,292,318,322,325,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Καρυών,Καρυαί,αι,οι,39.08141,22.42473,,
4686,Λεύκα,147,149,230,325,212,236,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Λεύκας,Λεύκα,η,η,,,,
4687,Μακρολίβαδο,202,197,194,205,235,258,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Μακρολιβάδου,Μακρολίβαδον,το,το,39.03749,22.41913,,
4688,Μαντασιά,338,333,324,336,409,411,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Μαντασιάς,Μαντασιά,η,η,39.12205,22.44423,,
4689,Μελιταία,216,210,278,304,258,390,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Μελιταίας,Μελιταία,η,η,39.04519,22.45159,,
4690,Νέα Μάκριση,152,151,140,144,142,147,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Νέας Μακρίσης,Νέα Μάκριση,η,η,39.07921,22.35005,,
4691,Νεχώρι,191,191,187,193,110,159,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Νεοχωρίου,Νεοχώριον,το,το,,,,
4692,Παλαμάς,114,115,171,177,267,300,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Παλαμά,Παλαμάς,ο,ο,,,,
4693,Νέος Παλαμάς,189,190,174,182,113,119,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Παλαμά,Νέος Παλαμάς,ο,ο,39.02929,22.37928,,
4694,Πετρωτό,386,387,465,480,574,585,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Πετρωτού,Πετρωτόν,το,το,39.18908,22.3896,,
4695,Πλυδένδρι,128,128,81,100,100,102,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Πολυδενδρίου,Πολυδένδριον,το,το,,,,
4696,Πυρνάρι,280,279,451,518,462,463,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Πουρναρίου,Πουρνάριον,το,το,,,,
4697,Σταθμός Δομοκού,0,0,3,4,11,11,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Πουρναρίου,Σταθμός Δομοκού,ο,ο,,,,
4698,Φυλιαδών,432,435,512,514,433,460,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΔΟΜΟΚΟΥ,Φυλιαδώνος,Φυλιαδών,η,η,39.05858,22.48118,,
4699,Νέ Μαστήρι,1159,1156,1353,1427,1208,1254,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Νέου Μοναστηρίου,Νέον Μοναστήριον,το,το,,,,
4700,Αγραπιδιά,162,160,200,215,228,234,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Αγραπιδιάς,Αγραπιδιά,η,η,39.19192,22.32933,,
4701,Βαρδαλή,285,283,410,405,429,453,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Βαρδαλής,Βαρδαλή,η,η,39.20116,22.31588,,
4702,Βελεσιώτες,228,226,567,589,387,400,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Βελεσιωτών,Βελεσιώται,οι,οι,39.1505,22.24689,,
4703,Γαβράκια,216,215,205,259,242,267,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Γαβρακίων,Γαβράκια,τα,τα,39.16161,22.17539,,
4704,Εκκάρα,576,573,735,818,732,756,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Εκκάρας,Εκκάρα,η,η,39.15393,22.19719,,
4705,Άνω Αγόριανη,115,115,139,188,156,190,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Εκκάρας,Άνω Αγόριανη,η,η,39.12036,22.20912,,
4706,Θαυμακό,257,257,372,417,270,297,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Θαυμακού,Θαυμακόν,το,το,39.14844,22.28384,,
4707,Σοφιάδα,235,234,292,300,297,311,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Σοφιάδας,Σοφιάδα,η,η,39.20441,22.25236,,
4708,Πετρίλια,80,80,86,87,102,102,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΘΕΣΣΑΛΙΩΤΙΔΟΣ,Σοφιάδας,Πετρίλια,τα,τα,39.19312,22.25075,,
4709,Ομβριακή,1210,1205,1141,1297,1726,1717,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Ομβριακής,Ομβριακή,η,η,39.10118,22.27106,,
4710,Μεταλλείο,38,38,11,254,41,41,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Ομβριακής,Μεταλλείον,το,το,,,,
4711,Άγιος Γεώργιος,353,350,210,380,221,217,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Αγίου Γεωργίου Δομοκού,Άγιος Γεώργιος,ο,ο,,,,
4712,Άγιος Στέφανος,312,313,228,308,219,338,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Αγίου Στεφάνου,Άγιος Στέφανος,ο,ο,39.02428,22.25315,,
4713,Κορομηλέα,232,233,239,301,225,264,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Κορομηλέας,Κορομηλέα,η,η,39.03499,22.28446,,
4714,Μακρυρράχη,352,361,418,470,482,508,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Μακρυρράχης,Μακρυρράχη,η,η,39.0873,22.15449,,
4715,Λουτρά Καΐτσης,0,0,0,0,0,0,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Μακρυρράχης,Λουτρά Καΐτσης,τα,τα,,,,
4716,Ξυνιάς,459,463,599,631,496,593,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Ξυνιάδος,Ξυνιάς,η,η,,,,
4717,Παναγία,158,170,174,216,204,208,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Παναγίας,Παναγία,η,η,39.09423,22.22843,,
4718,Περιβλι,435,434,462,539,545,596,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΔΟΜΟΚΟΥ,ΞΥΝΙΑΔΟΣ,Περιβολίου Δομοκού,Περιβόλιον,το,το,,,,
4719,Αταλάντη,4978,4917,5822,5949,5932,6189,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Αταλάντης,Αταλάντη,η,η,,,,
4720,Άγιος Βλάσιος,0,0,13,13,17,16,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Αταλάντης,Άγιος Βλάσιος,ο,ο,,,,
4721,Μονή Αγίων Αναργύρων,7,7,0,7,8,11,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Αταλάντης,Μονή Αγίων Αναργύρων,η,η,,,,
4722,Παλίρροια,36,35,24,28,89,118,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Αταλάντης,Παλίρροια,η,η,38.66563,23.07474,,
4723,Σκάλα,178,171,111,130,69,112,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Αταλάντης,Σκάλα,η,η,38.67171,23.07129,,
4724,Έξαρχος,699,695,899,925,822,826,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Εξάρχου,Έξαρχος,ο,ο,38.58791,22.94439,,
4725,Καλαπδι,444,450,583,751,603,683,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Καλαποδίου,Καλαπόδιον,το,το,,,,
4726,Κυπαρίσσι,184,206,238,275,244,284,ΣΤΕΡΕΑΣ ΕΛΛΑΔΑΣ,ΦΘΙΩΤΙΔΑΣ,ΛΟΚΡΩΝ,ΑΤΑΛΑΝΤΗΣ,Κυπαρισσίου,Κυπαρίσσιον,το,το,38.63801,23.07464,,
