code,location,mon_plith,astikotita,orinotita,ekt
11102010111,Τοπική Κοινότητα Νικοτσάρας,322,False,0.0,5.139
1110201011101,"Νικοτσάρας,ο",322,,,
11102010112,Δημοτική Κοινότητα Ξηροποτάμου,2735,True,2.0,84.609
1110201011201,"Ξηροπόταμος,ο",2554,,,
1110201011202,"Μεταμόρφωσις Σωτήρος,η",181,,,
11102010113,Δημοτική Κοινότητα Χωριστής,2725,True,0.0,24.633
1110201011301,"Χωριστή,η",2725,,,
111020102,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΣΙΔΗΡΟΝΕΡΟΥ,412,,2.0,351.492
11102010201,Τοπική Κοινότητα Σιδηρονέρου,310,False,2.0,258.63
1110201020101,"Σιδηρόνερον,το",228,,,
1110201020102,"Καλλίκαρπον,το",24,,,
1110201020103,"Οροπέδιο,το",23,,,
1110201020104,"Παππάδες,οι",35,,,
11102010202,Τοπική Κοινότητα Σκαλωτής,102,False,2.0,92.862
1110201020201,"Σκαλωτή,η",102,,,
1110202,ΔΗΜΟΣ ΔΟΞΑΤΟΥ,14516,,,242.919
111020201,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΚΑΛΑΜΠΑΚΙΟΥ,5573,,0.0,81.123
11102020101,Δημοτική Κοινότητα Καλαμπακίου,3110,True,0.0,24.102
1110202010101,"Καλαμπάκιον,το",3110,,,
11102020102,Τοπική Κοινότητα Αγίας Παρασκευής,454,False,0.0,10.434
1110202010201,"Αγία Παρασκευή,η",454,,,
11102020103,Τοπική Κοινότητα Καλαμώνος,597,False,0.0,22.979
1110202010301,"Καλαμών,ο",597,,,
11102020104,Τοπική Κοινότητα Νεροφράκτου,584,False,0.0,13.513
1110202010401,"Νεροφράκτης,ο",584,,,
11102020105,Τοπική Κοινότητα Φτελιάς,828,False,0.0,10.095
1110202010501,"Φτελιά,η",828,,,
111020202,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΔΟΞΑΤΟΥ,8943,,0.0,161.796
11102020201,Δημοτική Κοινότητα Κυρίων,1958,False,1.0,50.605
1110202020101,"Βαθύσπηλον,το",235,,,
1110202020102,"Βαθυχώριον,το",208,,,
1110202020103,"Ευρύπεδον,το",135,,,
1110202020104,"Κύρια,τα",1330,,,
1110202020105,"Υψηλόν,το",50,,,
11102020202,Δημοτική Κοινότητα Αγίου Αθανασίου,3150,True,0.0,25.594
1110202020201,"Άγιος Αθανάσιος,ο",3150,,,
11102020203,Τοπική Κοινότητα Αγοράς,101,False,1.0,12.779
1110202020301,"Αγορά,η",101,,,
11102020204,Δημοτική Κοινότητα Δοξάτου,2884,True,0.0,27.661
1110202020401,"Δοξάτον,το",2884,,,
11102020205,Τοπική Κοινότητα Κεφαλαρίου,672,False,0.0,10.054
1110202020501,"Άνω Κεφαλάριον,το",339,,,
1110202020502,"Κάτω Κεφαλάριον,το",333,,,
11102020206,Τοπική Κοινότητα Πηγαδίων,178,False,2.0,35.103
1110202020601,"Πηγάδια,τα",168,,,
1110202020602,"Αίγειρος,ο",0,,,
1110202020603,"Περιστέρια,τα",10,,,
1110203,ΔΗΜΟΣ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,7860,,,872.394
11102030001,Δημοτική Κοινότητα Κάτω Νευροκοπίου,2157,True,2.0,67.461
1110203000101,"Κάτω Νευροκόπιον,το",2157,,,
11102030002,Τοπική Κοινότητα Αχλαδέας,92,False,2.0,46.953
1110203000201,"Αχλαδέα,η",92,,,
11102030003,Τοπική Κοινότητα Βαθυτόπου,461,False,2.0,32.458
1110203000301,"Βαθύτοπος,ο",461,,,
11102030004,Τοπική Κοινότητα Βώλακος,1028,False,2.0,91.255
1110203000401,"Βώλαξ,ο",1028,,,
11102030005,Τοπική Κοινότητα Γρανίτου,78,False,2.0,26.642
1110203000501,"Γρανίτης,ο",78,,,
11102030006,Τοπική Κοινότητα Δασωτού,235,False,2.0,17.594
1110203000601,"Δασωτόν,το",235,,,
11102030007,Τοπική Κοινότητα Εξοχής,150,False,2.0,43.615
1110203000701,"Εξοχή,η",150,,,
11102030008,Τοπική Κοινότητα Καταφύτου,232,False,2.0,75.86
1110203000801,"Κατάφυτον,το",232,,,
11102030009,Τοπική Κοινότητα Κάτω Βροντούς,554,False,2.0,60.259
1110203000901,"Κάτω Βροντού,η",554,,,
11102030010,Τοπική Κοινότητα Λευκογείων,465,False,2.0,79.129
1110203001001,"Λευκόγεια,τα",465,,,
11102030011,Τοπική Κοινότητα Μικροκλεισούρας,137,False,2.0,25.705
1110203001101,"Μικροκλεισούρα,η",111,,,
1110203001102,"Πέρασμα,το",26,,,
11102030012,Τοπική Κοινότητα Μικρομηλέας,38,False,2.0,129.829
1110203001201,"Μικρομηλέα,η",38,,,
11102030013,Τοπική Κοινότητα Οχυρού,514,False,2.0,42.062
1110203001301,"Οχυρόν,το",514,,,
11102030014,Τοπική Κοινότητα Παγονερίου,154,False,2.0,27.141
1110203001401,"Παγονέριον,το",154,,,
11102030015,Τοπική Κοινότητα Περιθωρίου,898,False,2.0,32.458
1110203001501,"Περιθώριον,το",898,,,
11102030016,Τοπική Κοινότητα Ποταμών,323,False,2.0,56.063
1110203001601,"Ποταμοί,οι",323,,,
11102030017,Τοπική Κοινότητα Χρυσοκεφάλου,344,False,2.0,17.91
1110203001701,"Χρυσοκέφαλος,ο",344,,,
1110204,ΔΗΜΟΣ ΠΑΡΑΝΕΣΤΙΟΥ,3901,,,1028.403
111020401,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΠΑΡΑΝΕΣΤΙΟΥ,1096,,2.0,787.479
11102040101,Τοπική Κοινότητα Παρανεστίου,881,False,2.0,150.88
1110204010101,"Παρανέστιον,το",625,,,
1110204010102,"Αηδονόκαστρον,το",15,,,
1110204010103,"Καπνόφυτον,το",18,,,
1110204010104,"Καρποφόρον,το",26,,,
1110204010105,"Μεσοχώριον,το",105,,,
1110204010106,"Ξάγναντον,το",43,,,
1110204010107,"Περίβλεπτον,το",8,,,
1110204010108,"Πολυνέριον,το",10,,,
1110204010109,"Πολύσυκο,το",15,,,
1110204010110,"Τέμενος,το",16,,,
11102040102,Τοπική Κοινότητα Θολού,166,False,1.0,60.996
1110204010201,"Θόλος,ο",4,,,
1110204010202,"Κάτω Θόλος,ο",123,,,
1110204010203,"Κρήνη,η",8,,,
1110204010204,"Στέρνα,η",31,,,
11102040103,Τοπική Κοινότητα Σίλης,49,False,2.0,575.603
1110204010301,"Πρασινάδα,η",32,,,
1110204010302,"Διπόταμα,τα",17,,,
1110204010303,"Σίλλη,η",0,,,
111020402,ΔΗΜΟΤΙΚΗ ΕΝΟΤΗΤΑ ΝΙΚΗΦΟΡΟΥ,2805,,2.0,240.924
11102040201,Τοπική Κοινότητα Νικηφόρου,321,False,1.0,33.199
1110204020101,"Νικηφόρος,ο",296,,,
1110204020102,"Μαρμαριά,η",12,,,
1110204020103,"Μικρολιβάδιον,το",13,,,
11102040202,Τοπική Κοινότητα Αδριανής,1080,False,0.0,23.08
1110204020201,"Αδριανή,η",1080,,,
11102040203,Τοπική Κοινότητα Άνω Πυξαρίου,136,False,2.0,19.992
1110204020301,"Άνω Πυξάριον,το",20,,,
1110204020302,"Γύρος,ο",15,,,
1110204020303,"Τείχος,το",63,,,
1110204020304,"Υψηλόκαστρον,το",38,,,
11102040204,Τοπική Κοινότητα Πλατανιάς,633,False,2.0,50.831
1110204020401,"Πλατανιά,η",464,,,
1110204020402,"Θαμνωτόν,το",21,,,
1110204020403,"Μαυροκορδάτος,ο",59,,,
1110204020404,"Πελεκητή,η",13,,,
1110204020405,"Πρινόλοφος,ο",76,,,
11102040205,Τοπική Κοινότητα Πλατανόβρυσης,211,False,2.0,54.157
1110204020501,"Παλιάμπελα,τα",48,,,
1110204020502,"Δρυμότοπος,ο",1,,,
1110204020503,"Πλατανόβρυση,η",58,,,
1110204020504,"Τερψιθέα,η",23,,,
1110204020505,"Χαμοκέρασα,τα",81,,,
11102040206,Τοπική Κοινότητα Πτελέας Πλατανιάς,209,False,2.0,28.889
1110204020601,"Πτελέα,η",209,,,
11102040207,Τοπική Κοινότητα Υψηλής Ράχης,215,False,2.0,30.776
1110204020701,"Υψηλή Ράχη,η",215,,,
1110205,ΔΗΜΟΣ ΠΡΟΣΟΤΣΑΝΗΣ,13066,,,481.14
