,code,desc,iure11,facto11,iure01,facto01,iure91,facto91,perifereia,nomos,dimos,dimenot,koinot,kath,article_kath,article_dim,lat,long,elev,astikotita,orinotita
10547,4615301120801,Τρύγονας,300,298,336,339,348,373,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΛΩΜΑΡΙΟΥ,Τρύγονα,Τρύγονας,ο,ο,38.98233,26.40594,,False,1.0
10548,4615301120802,Κολυμβάτερα,0,0,1,1,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΛΩΜΑΡΙΟΥ,Τρύγονα,Κολυμβάτερα,τα,τα,,,,False,1.0
10549,4615301130101,Πολιχνίτος,2102,2057,2690,2763,3059,3008,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Πολιχνίτου,Πολιχνίτος,ο,ο,39.07911,26.18215,,True,0.0
10550,4615301130102,Αμπέλια,19,18,0,0,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Πολιχνίτου,Αμπέλια,τα,τα,39.30781,26.12804,,True,0.0
10551,4615301130103,Γηροκομείο Λαμανδρίου,3,3,2,2,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Πολιχνίτου,Γηροκομείον Λαμανδρίου,το,το,,,,True,0.0
10552,4615301130104,Γλάρος,9,9,0,0,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Πολιχνίτου,Γλάρος,ο,ο,,,,True,0.0
10553,4615301130105,Νυφίδα,87,87,81,95,36,39,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Πολιχνίτου,Νυφίδα,η,η,,,,True,0.0
10554,4615301130106,Σκάλα,186,199,109,115,117,115,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Πολιχνίτου,Σκάλα,η,η,,,,True,0.0
10555,4615301130201,Βασιλικά,400,397,556,557,536,563,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Βασιλικών,Βασιλικά,τα,τα,39.10216,26.2429,,False,0.0
10556,4615301130202,Άγιος Παύλος,29,29,29,26,64,81,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Βασιλικών,Άγιος Παύλος,ο,ο,39.14015,26.2405,,False,0.0
10557,4615301130203,Αχλαδερή,7,7,25,25,97,97,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Βασιλικών,Αχλαδερή,η,η,38.47508,24.17174,,False,0.0
10558,4615301130301,Βρίσα,617,608,799,798,835,810,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Βρίσας,Βρίσα,η,η,39.03999,26.20097,,False,0.0
10559,4615301130302,Άγιος Φωκάς,16,16,29,29,25,26,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Βρίσας,Άγιος Φωκάς,ο,ο,39.00801,26.16961,,False,0.0
10560,4615301130303,Βατερά,219,212,165,172,124,133,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Βρίσας,Βατερά,τα,τα,39.02018,26.19844,,False,0.0
10561,4615301130401,Λισβόρι,408,400,507,516,569,562,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Λισβορίου,Λισβόριον,το,το,39.10519,26.21871,,False,0.0
10562,4615301130402,Θερμοπηγές,6,6,4,4,0,0,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Λισβορίου,Θερμοπηγές,οι,οι,,,,False,0.0
10563,4615301130403,Λιβάδια,11,11,16,16,10,10,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Λισβορίου,Λιβάδια,τα,τα,,,,False,0.0
10564,4615301130404,Σκαμιούδι,28,28,23,26,45,44,ΒΟΡΕΙΟΥ ΑΙΓΑΙΟΥ,ΛΕΣΒΟΥ,ΛΕΣΒΟΥ,ΠΟΛΙΧΝΙΤΟΥ,Λισβορίου,Σκαμιούδι,το,το,,,,False,0.0
